lamp_num,retriever,alpha,metric,EE_D_mean,EE_D_std,EE_R_mean,EE_R_std,EE_L_mean,EE_L_std,EU_mean,EU_std
4,bm25,1,rouge-l,0.18562499999999998,0.07362515002033776,0.16558926666666662,0.17085059073211495,0.3246369333333333,0.11495571026177215,0.16658162577074423,0.14429665566126865
4,bm25,2,rouge-l,0.2270833333333333,0.09356063250119138,0.16045836666666669,0.1515515599065292,0.35859936666666664,0.1071256306976914,0.18115044153984033,0.1250339017799356
4,bm25,4,rouge-l,0.6952083333333332,0.14491826000657518,0.17206770000000002,0.1891652329270767,0.7052642999999998,0.12951782730338576,0.1615359450730179,0.1653796060591452
4,bm25,8,rouge-l,0.9589583333333332,0.06607620611360655,0.18019503333333337,0.2283928242623137,0.9020428666666667,0.09136418576479718,0.16259545887027063,0.21555557669431363
