alpha,metric,EE_D_mean,EE_D_std,EE_R_mean,EE_R_std,EU_mean,EU_std,query_count
1,rouge-l,0.0001234567901234568,0.0009562921842487449,0.07994603801905428,0.10602421070674044,0.216876756091209,0.1681488525806193,60
2,rouge-l,0.04963908705162008,0.054944290741190116,0.08174523159232511,0.09222915683759898,0.2297207314840245,0.14739068902051114,60
4,rouge-l,0.6837061697041434,0.15153770106289918,0.10584032754330493,0.14571781635613415,0.25721690904752675,0.2469742292535472,60
8,rouge-l,0.9980392156862745,0.015188169985127129,0.10820320233212812,0.1877719973551367,0.2666007578262736,0.30110159653464486,60
