ee_d_interval,n_queries,mean_eu,mean_ee_d,mean_ee_r
0.0-0.2,585,0.20655766820828877,0.11915440504050404,0.20732933573357337
0.2-0.4,260,0.2670688658916522,0.299392375,0.3412944914772727
0.4-0.6,272,0.29395094236214137,0.502990750798722,0.38578019169329075
0.6-0.8,455,0.28133823306798905,0.7131514950099801,0.36017987025948106
0.8-1.0,804,0.2741523995023581,0.9457661412322275,0.328239327014218
