ee_d_interval,n_qids,mean_eu_stochastic,mean_eu_deterministic,eu_diff_st_minus_det,mean_ee_d_stochastic,mean_ee_r_stochastic
[0.0-0.2),581,0.2056691264771017,0.2712374516614965,-0.06556832518439479,0.12121420854847963,0.20907709007458405
[0.2-0.4),259,0.25979097857792277,0.34155153543058114,-0.08176055685265837,0.29865403024453024,0.33742559395109395
[0.4-0.6),275,0.2848287349513889,0.3474819299135867,-0.06265319496219779,0.4996750618181818,0.37017885333333334
[0.6-0.8),452,0.26754233138792627,0.30523931778870106,-0.03769698640077479,0.7118352793141592,0.3197704343657818
[0.8-1.0],804,0.26655811625175996,0.3088025072205558,-0.04224439096879584,0.9506229865257048,0.3131797533167496
