ee_d_interval,n_qids,mean_eu_stochastic_raw,mean_eu_deterministic_raw,eu_diff_st_minus_det_raw,mean_ee_d_stochastic,mean_ee_r_stochastic
[0.0-0.2),581,0.0326005446072776,0.04218446169258247,-0.009583917085304872,0.12121420854847963,0.20907709007458405
[0.2-0.4),259,0.05199220741367052,0.05549585134348633,-0.0035036439298158084,0.29865403024453024,0.33742559395109395
[0.4-0.6),275,0.04905740733205653,0.05352500961203029,-0.0044676022799737605,0.4996750618181818,0.37017885333333334
[0.6-0.8),452,0.0479743453784539,0.04703291840550921,0.0009414269729446922,0.7118352793141592,0.3197704343657818
[0.8-1.0],804,0.04770211457093216,0.04748237792965274,0.0002197366412794166,0.9506229865257048,0.3131797533167496
