retriever,alpha,qid,ee_d,ee_r,eu,ee_d_interval
bm25,1,3174,0.144444,0.983333,0.3028364641350998,0.0-0.2
bm25,1,3175,0.136111,0.183333,0.07347539827044815,0.0-0.2
bm25,1,3176,0.130556,0.283333,0.2683355283584687,0.0-0.2
bm25,1,3177,0.130556,0.316667,0.27669671440202115,0.0-0.2
bm25,1,3178,0.147222,0.133333,0.14351851831275722,0.0-0.2
bm25,1,3179,0.125,0.266667,0.22061535258541315,0.0-0.2
bm25,1,3180,0.133333,0.033333,0.12337195203968386,0.0-0.2
bm25,1,3181,0.133333,0.366667,0.3646412464228888,0.0-0.2
bm25,1,3182,0.144444,0.116667,0.028186274436815168,0.0-0.2
bm25,1,3183,0.127778,0.0,0.05604518355714613,0.0-0.2
bm25,1,3184,0.144444,0.266667,0.21229846052593115,0.0-0.2
bm25,1,3185,0.138889,0.103838,0.1220677735470264,0.0-0.2
bm25,1,3186,0.127778,0.316667,0.31806046901373886,0.0-0.2
bm25,1,3187,0.138889,0.383333,0.08436749110365506,0.0-0.2
bm25,1,3188,0.494444,0.683333,0.2865342988900111,0.4-0.6
bm25,1,3189,0.497222,0.683333,0.1763003565854474,0.4-0.6
bm25,1,3190,0.255556,0.833333,0.3124265524820078,0.2-0.4
bm25,1,3195,0.525,0.466667,0.04984520087493852,0.4-0.6
bm25,1,3198,0.388889,0.204082,0.4211976887068728,0.2-0.4
bm25,1,31100,0.319444,0.433333,0.45894168314604356,0.2-0.4
bm25,1,31102,0.325,0.263566,0.19271927704491382,0.2-0.4
bm25,1,31103,0.297222,1.0,0.27375412502257396,0.2-0.4
bm25,1,31104,0.388889,0.5,0.38933457318657594,0.2-0.4
bm25,1,31105,0.355556,0.533333,0.2571109448491217,0.2-0.4
bm25,1,31106,0.372222,0.288462,0.5320092298905863,0.2-0.4
bm25,1,31108,0.536111,1.0,0.4032847751696923,0.4-0.6
bm25,1,31109,0.247222,0.140351,0.392619019426423,0.2-0.4
bm25,1,31110,0.263889,0.666667,0.2097740133052019,0.2-0.4
bm25,1,31112,0.252778,0.1,0.2743588419974851,0.2-0.4
bm25,1,31113,0.241667,0.433333,0.3058719332188377,0.2-0.4
bm25,1,31114,0.263889,0.433333,0.408158297674787,0.2-0.4
bm25,1,31115,0.272222,0.483333,0.27383832593584406,0.2-0.4
bm25,1,31116,0.322222,0.566667,0.4064199223614076,0.2-0.4
bm25,1,31117,0.297222,0.333333,0.2679372231608469,0.2-0.4
bm25,1,31118,0.391667,0.28655,0.31064003816256974,0.2-0.4
bm25,1,31120,0.35,0.266082,0.19681466257903385,0.2-0.4
bm25,1,31121,0.555556,0.44,0.3565127541962663,0.4-0.6
bm25,1,31122,0.563889,0.346667,0.08481559280890044,0.4-0.6
bm25,1,31125,0.538889,0.766667,0.31752476666631,0.4-0.6
bm25,1,31126,0.513889,0.9,0.586553025886871,0.4-0.6
bm25,1,31127,0.341667,0.389344,0.46551041094733325,0.2-0.4
bm25,1,31128,0.341667,0.783333,0.3260048958036707,0.2-0.4
bm25,1,31129,0.275,0.8,0.19717048910699017,0.2-0.4
