ee_d_interval,n_rows,n_unique_qids,mean_ee_d,mean_ee_r,mean_eu
[0.0-0.2),1106,581,0.11878891862567811,0.2074679547920434,0.20236539046938945
[0.2-0.4),350,259,0.2959603314285714,0.3385588,0.2620070618908628
[0.4-0.6),316,275,0.49948134493670887,0.38488574999999997,0.2865433293120258
[0.6-0.8),497,452,0.7108428551307847,0.3572344064386318,0.2762365941325738
[0.8-1.0],1063,804,0.9446691241768579,0.33005251458137347,0.26800883456371316
