ee_d_interval,n_queries,mean_eu,mean_ee_d,mean_ee_r
0.0-0.2,28,0.17439979979254808,0.14816326530612245,0.16758522448979593
0.2-0.4,10,0.19885553362065114,0.2701818181818182,0.1808989090909091
0.4-0.6,6,0.13501123601399573,0.5057142857142857,0.2982978571428571
0.6-0.8,15,0.19533142926180797,0.6981333333333333,0.2147234
0.8-1.0,30,0.14009547477407702,0.9483157894736842,0.17212765789473683
